City,Flag URL,Country,Metro URL,Name,Service opened,Last expanded,Stations,Lines,System length( km),Annual ridership (millions)
Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/188px-Flag_of_Algeria.svg.png,Algeria,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Metroalger.svg/113px-Metroalger.svg.png,Algiers Metro,2011,2018,19,1,18.5,45.3
Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/188px-Flag_of_Argentina.svg.png,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Subte-logo.svg/150px-Subte-logo.svg.png,Buenos Aires Underground,1913,2019,78,7,56.7,236
Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/188px-Flag_of_Armenia.svg.png,Armenia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Yerevan_Metro.svg/180px-Yerevan_Metro.svg.png,Yerevan Metro,1981,1996,10,1,12.1,23.3
Sydney,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/188px-Flag_of_Australia_%28converted%29.svg.png,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/TfNSW_M.svg/150px-TfNSW_M.svg.png,Sydney Metro,2019,2024,21,1,52,39.7
Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/188px-Flag_of_Austria.svg.png,Austria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/U-Bahn_Wien.svg/90px-U-Bahn_Wien.svg.png,Vienna U-Bahn,1978,2017,98,5,83.3,459.8
Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/188px-Flag_of_Azerbaijan.svg.png,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Baku_metro_logo.svg/180px-Baku_metro_logo.svg.png,Baku Metro,1967,2022,27,3,40.7,202.5
Dhaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/188px-Flag_of_Bangladesh.svg.png,Bangladesh,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dhaka_Mass_Transit_Company_Limited_logo.svg/135px-Dhaka_Mass_Transit_Company_Limited_logo.svg.png,Dhaka Metro Rail,2022,2023,16,1,20.1,100.38
Minsk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/188px-Flag_of_Belarus.svg.png,Belarus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Minsk_metro_logo.svg/180px-Minsk_metro_logo.svg.png,Minsk Metro,1984,2024,36,3,45,234
Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/188px-Flag_of_Belgium.svg.png,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Brussels_Metro_Logo.svg/113px-Brussels_Metro_Logo.svg.png,Brussels Metro,1976,2009,59,4,39.9,129.2
Belo Horizonte,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/188px-Flag_of_Brazil.svg.png,Brazil,https://upload.wikimedia.org/wikipedia/commons/3/3e/Metr%C3%B4_Logo_V2.png,Belo Horizonte Metro,1986,2002,19,1,28.1,54.4
